title,price,rating,oprice,brand
USM ID116 Smart Watch Smart Bracelet Fitness Tracker Color Screen Smartwatch Heart Rate Blood Pressure Pedometer Sleep Monitor  ,329,4.3,₹329,USM
"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Lightning Black)  ","1,199",4.0,"₹1,199",boAt
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(42.9cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Champagne Grey)  ","1,299",4.0,"₹1,299",Noise
Krishna Analog Analog Watch - for Boys & Girls  ,119,5.0,₹119,Generic
"boAt Xtend Smartwatch Batman Edition with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM(Knight Black)  ","1,299",4.2,"₹1,299",boAt
Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054  ,399,4.0,₹399,LOUIS DEVIN
Digital Sports Multi Functional Black Dial Watch for Mens Boys -315RED  ,284,3.8,₹284,Shocknshop
"Tokdis MX-1 Pro Bluetooth Calling Smartwatch - 1.69” LCD Display, Multiple Watch Faces, Sleep Monitor, Heart & SpO2 Monitoring, Multiple Sports Modes  ",799,3.1,₹799,Tokdis
"Bouncefit D20 Y68 Fitness Band Smartwatch – Single Touch Interface, Water Resistant, Workout Modes, Quick Charge Sports Smartwatch for Boys and Girls – Jet Black  ",479,3.0,₹479,Bouncefit
Analog Day Date Functioning Stainless Steel Chain Watch for Men  ,319,3.8,₹319,TIMEWEAR
"boAt Wave Prime47 Smart Watch with 1.69"" HD Display, 700+ Active Modes, ASAP Charge, Live Cricket Scores, Crest App Health Ecosystem, HR & SpO2 Monitoring(Matte Black)  ","1,199",3.4,"₹1,199",boAt
"Digital 24 Images Projector Watch for Kids Boys Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906  ",289,4.1,₹289,ADAMO
SHREENOVA® ID116 Plus Bluetooth Fitness Smart Watch for Men Women and Kids Activity Tracker (Black)  ,278,3.1,₹278,Generic
"Hammer Ace 3.0 Bluetooth Calling Smart Watch with Largest 1.85"" IPS Display, Dual Mode, Spo2, Heart Rate, Strong Metallic Body & Skin Friendly Strap (Black)  ","1,499",4.5,"₹1,499",Hammer
"Fire-Boltt Ring 3 Smart Watch 1.8"" Biggest Display Advanced Bluetooth Calling Chip, Voice Assistance,118 Sports Modes, in Built Calculator & Games, SpO2, Heart Rate Monitoring  ","1,999",4.2,"₹1,999",Fire-Boltt
"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Galaxy Blue)  ","1,199",4.0,"₹1,199",boAt
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking, Rs 100 Off on UPI  ","2,499",4.0,"₹2,499",Fire-Boltt
"OnePlus Nord Watch with 1.78” AMOLED Display, 60 Hz Refresh Rate, 105 Fitness Modes, 10 Days Battery, SPO2, Heart Rate, Stress Monitor, Women Health Tracker & Multiple Watch Faces [Deep Blue]  ","4,999",3.9,"₹4,999",OnePlus
"boAt Newly Launched Wave Armour with 1.83” HD Display, Bluetooth Calling, Rugged Design, HR, SpO2 & Sleep Monitoring, Multiple Sports Modes, Multiple Watch Faces(Olive Green)  ","1,999",4.5,"₹1,999",boAt
Analog Day & Date Display Wrist Watch for Men & Boys (Black)  ,299,3.6,₹299,Matrix
VMBS A1 Smart Watch Mobile Inbuild Camera Supporting 4G/5G Sim Smartwatch for Phone  ,990,2.5,₹990,VMBS
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking, Rs 100 Off on UPI  ","2,499",4.0,"₹2,499",Fire-Boltt
"boAt Matrix Smart Watch with 1.65” AMOLED Display, Always On Mode, Slim Premium Design, Heart Rate & SpO2 Monitoring, Health Ecosystem & Multiple Sports Modes, 3ATM & 7 Days Battery Life(Pitch Black)  ","1,499",3.9,"₹1,499",boAt
Stainless Steel Watch Series Analogue Men's Watch (Black Dial Mens Long Colored Strap) -W219  ,285,3.8,₹285,Shocknshop
Analogue White Dial Kids Watch for Boys & Girls  ,189,3.5,₹189,SWADESI STUFF
Simple Sport Digital Men’s Military Watches Electronic LED Time Black Wrist Watch  ,449,3.8,₹449,Shocknshop
Analog Boy's & Men's Watch (Blue Dial Blue Colored Strap)  ,266,3.6,₹266,REDUX
Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Mens Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch  ,189,3.8,₹189,SELLORIA
Analog Dial Black Metal Strap Watch Series Watches for Men Watch for Man and Watch for Boys  ,284,3.5,₹284,The Shopoholic
Brand - A Taymex Digital Watch Shockproof Multi-Functional Automatic Black Strap Waterproof Digital Sports Watch For Men's Kids Watch For Boys - Watch For Men Pack Of 1  ,285,4.0,₹285,Acnos
Digital Dial Men's & Women's Watch(AB206-VSD)  ,299,2.5,₹299,CERO
Watches for Men Round Numerical Dial |Analogue Quartz Movemnet Mens Watch|Long Battery Life|Stainless Steel Adjustable Bracelet Black Chain with Long Lasting Polish| Watches for Boys  ,249,4.3,₹249,IIK COLLECTION
Analogue - Digital Men's Watch (Black Dial Black Colored Strap)  ,799,3.8,₹799,V2A
"Smart Watch D20 Y68 Smart Watch for Girls Boys Men Women Kids, Blacktooth 1.3"" Smart Watch LED with Daily Activity Tracker, Heart Rate Sensor, for All Boys & Girls SmartWatch- Pink  ",499,1.7,₹499,Drawya
Analog Grey Dial Unisex-Adult Watch-68011PP08  ,895,4.2,₹895,Fastrack
Smart Watch for Men Women ID116 Plus Smart Bracelet Fitness Tracker Color Screen Smartwatch Heart Rate Blood Pressure Pedometer Sleep Monitor  ,399,4.4,₹399,Mobivax
All Black Stainless Steel Strap Stylish Analog Watch for Men  ,299,3.5,₹299,SWADESI STUFF
"MAGBOT Q9 Smart Watch for Men & Women Latest Bluetooth 1.3"" LED with Daily Activity Tracker, Heart Rate Sensor, BP Monitor, Sports Gym Watch for All Boys & Girls - Black  ",499,3.6,₹499,MAGBOT
V2A Digital Unisex Watch (Grey Dial Black Colored Strap)  ,990,4.1,₹990,V2A
New Edition i7 Pro Max All in One Series 7 Smart Watch with Fitness Tracker Heart Monitor Men Women Smart Watch Black  ,589,3.3,₹589,Generic
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.2cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Lime Green)  ","1,299",4.0,"₹1,299",Noise
Tees Analog Dial Unisex-Adult Watch  ,950,4.2,₹950,Fastrack
"OLICOM M1 Smart Watch Id-116 Bluetooth Smartwatch Wireless Fitness Band for Boys, Girls, Men, Women & Kids | Sports Gym Watch for All Smart Phones I Heart Rate and spo2 Monitor  ",499,3.6,₹499,OLICOM
Analogue Black Dial Men's Watch - SS-GR918-BLK-BLK  ,149,2.5,₹149,SWISSTYLE
"SHREENOVA XA Smart Watch for Men & Women Latest Bluetooth 1.3"" LED with Daily Activity Tracker, Heart Rate Sensor,Sports Gym Watch for All Boys & Girls - Black  ",295,3.0,₹295,Generic
The Watch (Fourteen Tales of Thirteen Covens Book 5)  ,0,5.0,₹0,Audrey Brice
"DIZO Watch D2 Power (by realme TechLife) –Large 1.91"" Superlight, Single Chipset Bluetooth Calling Smartwatch with Smart Swipe,150 +Stylish Watch Faces and 10 Day Battery (Classic Black)  ","1,799",3.7,"₹1,799",DIZO
Silicone Strap Black Dial Watch for Men | Watches for Boys | Stylish Analog Watches for Men  ,"1,499",5.0,"₹1,499",Sylvi
Analog Men's Watch  ,"1,298",4.1,"₹1,298",TIMEX
New LED Square Digital Watch for Boys & Girls  ,99,2.7,₹99,RPS FASHION WITH DEVICE OF R
"Noise ColorFit Ultra Buzz Bluetooth Calling Smart Watch with 1.75"" HD Display, 320x385 px Resolution, 100 Sports Modes, Stock Market Info Smartwatch for Men & Women (Champagne Grey)  ","1,999",4.1,"₹1,999",Noise
Square Multi DIAL Analog Silicon Strap ADDI Stylish Designer Analog Watch - for Boys  ,189,3.5,₹189,SWADESI STUFF
"Noise ColorFit Ultra Buzz Bluetooth Calling Smart Watch with 1.75"" HD Display, 320x385 px Resolution, 100 Sports Modes, Stock Market Info Smartwatch for Men & Women (Charcoal Black)  ","1,999",4.1,"₹1,999",Noise
Analog Dial Black Metal Strap Watch Series Watches for Men Watch for Man and Watch for Boys  ,284,3.5,₹284,The Shopoholic
"AYL Smart Watch New Generation for You ID116 Touchscreen Android Smart Watch Bluetooth Smartwatch with Heart Rate Sensor and Basic Functionality for All Women, Men, Boys & Girls - Black  ",499,3.4,₹499,AYL
Unisex Elegant Plane Style Digital Display Waterproof Outdoor Sports Silicone Strap LED Wrist Watch ( black )  ,390,3.3,₹390,FANMIS
"Waterproof D20 Touchscreen Smart Watch Bluetooth Smartwatch with Blood Pressure Tracking, Heart Rate Sensor and Basic Functionality for All Women and Men  ",332,2.5,₹332,Generic
All Black Stainless Steel Strap Stylish Analog Watch for Men  ,299,3.5,₹299,SWADESI STUFF
i8 Pro Max Touch Screen Bluetooth Smartwatch with Activity Tracker Compatible with All 3G/4G/5G Android & iOS Smartphones - Black  ,919,2.9,₹919,Generic
"OnePlus Nord Watch with 1.78” AMOLED Display, 60 Hz Refresh Rate, 105 Fitness Modes, 10 Days Battery, SPO2, Heart Rate, Stress Monitor, Women Health Tracker & Multiple Watch Faces [Deep Blue]  ","4,999",3.9,"₹4,999",OnePlus
Silicone Strap Black Dial Watch for Men | Watches for Boys | Stylish Analog Watches for Men  ,"1,499",5.0,"₹1,499",Sylvi
"Noise Pulse Go Buzz Smart Watch with Advanced Bluetooth Calling, 1.69"" Display, 150+ Cloud Watch Face, SPo2, Heart Rate Tracking, 100 Sports Mode with Auto Detection, Longer Battery (Midnight Blue)  ","1,699",4.1,"₹1,699",Noise
"boAt Matrix Smart Watch with 1.65” AMOLED Display, Always On Mode, Slim Premium Design, Heart Rate & SpO2 Monitoring, Health Ecosystem & Multiple Sports Modes, 3ATM & 7 Days Battery Life(Pitch Black)  ","1,499",3.9,"₹1,499",boAt
Men's Military Digital Watches Analog Quartz Waterproof Watch Sport Multifunctional Leather Wristwatch  ,"3,152",4.5,"₹3,152",NAVIFORCE
Reflex Vox Smartwatch|Alexa Built-in|Bright HD Display|Upto 10 Days Battery|5 ATM Water Resistance|Multiple Sports Modes|100+ Watchfaces|24x7 HRM|Sp02|Stress Monitor|Camera & Music Control  ,"1,994",3.9,"₹1,994",Fastrack
Analog Minute Track Dial Stainless Steel Chain Watch for Men  ,279,3.9,₹279,TIMEWEAR
New Fastrack Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24*7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control  ,"1,694",3.9,"₹1,694",Fastrack
Brishti Super-Hero Multicolored Glowing Light Digital Wrist Watch for Kid's (Best Return Gift for Boy's)  ,299,3.9,₹299,Brishti
"AYL Waterproof D-20 Touch Screen Smart Watch Bluetooth Smartwatch with Blood Pressure Tracking, Heart Rate Sensor and Basic Functionality for All Women and Girls (Pink)  ",470,3.4,₹470,AYL
